config,file,n,k,alpha,construct_mode,ls_mode,reactive_alphas,reactive_block,sample_size,iterations,time_limit_s,timed_out,max_value,size,feasible,time_s,elements
RPG_p=10,BreastB.I,49,3,-1.0000,RPG,BEST_IMPROVING,"",,10,10000,900,false,-38.308347,3,true,9.612,"7 13 11"
RPG_p=20,BreastB.I,49,3,-1.0000,RPG,BEST_IMPROVING,"",,20,10000,900,false,-38.308347,3,true,8.301,"7 13 11"
GRASP_POP_alpha=0.050000,BreastB.I,49,3,0.0500,STANDARD+POP,BEST_IMPROVING,"",,,10000,900,false,-38.308347,3,true,8.408,"13 7 11"
GRASP_alpha=0.050000,BreastB.I,49,4,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,900,false,-36.947697,4,true,13.722,"7 13 11 18"
GRASP_RW_BI_alpha=0.050000,BreastB.I,49,4,0.0500,STANDARD,FAST_INTERCHANGE_BI,"",,,10000,900,false,-36.947697,4,true,4.733,"18 7 13 11"
GRASP_FI_alpha=0.050000,BreastB.I,49,4,0.0500,STANDARD,FIRST_IMPROVING,"",,,10000,900,false,-36.947697,4,true,10.291,"7 13 11 18"
RPG_p=5,BreastB.I,49,4,-1.0000,RPG,BEST_IMPROVING,"",,5,10000,900,false,-36.947697,4,true,21.211,"7 11 13 18"
RPG_p=10,BreastB.I,49,4,-1.0000,RPG,BEST_IMPROVING,"",,10,10000,900,false,-36.947697,4,true,17.547,"7 11 18 13"
RPG_p=20,BreastB.I,49,4,-1.0000,RPG,BEST_IMPROVING,"",,20,10000,900,false,-36.947697,4,true,13.874,"7 11 18 13"
GRASP_POP_alpha=0.050000,BreastB.I,49,4,0.0500,STANDARD+POP,BEST_IMPROVING,"",,,10000,900,false,-36.947697,4,true,10.279,"13 7 11 18"
GRASP_alpha=0.050000,BreastB.I,49,5,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,900,false,-35.724731,5,true,17.389,"7 13 11 18 10"
GRASP_RW_BI_alpha=0.050000,BreastB.I,49,5,0.0500,STANDARD,FAST_INTERCHANGE_BI,"",,,10000,900,false,-35.724731,5,true,5.520,"7 13 11 18 10"
GRASP_FI_alpha=0.050000,BreastB.I,49,5,0.0500,STANDARD,FIRST_IMPROVING,"",,,10000,900,false,-35.724731,5,true,12.026,"13 11 18 7 10"
RPG_p=5,BreastB.I,49,5,-1.0000,RPG,BEST_IMPROVING,"",,5,10000,900,false,-35.724731,5,true,29.497,"7 11 18 13 10"
RPG_p=10,BreastB.I,49,5,-1.0000,RPG,BEST_IMPROVING,"",,10,10000,900,false,-35.724731,5,true,24.727,"13 10 18 11 7"
