config,file,n,k,alpha,construct_mode,ls_mode,reactive_alphas,reactive_block,sample_size,iterations,time_limit_s,timed_out,max_value,size,feasible,time_s,elements
GRASP_WLS_alpha=0.050000,DBLCA.I,141,6,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,false,-25.987869,6,true,5.815,"50 125 27 63 124 100"
GRASP_WLS_alpha=0.050000,DBLCB.I,180,3,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,false,-27.225292,3,true,3.263,"151 0 66"
GRASP_WLS_alpha=0.050000,DBLCB.I,180,4,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,false,-26.390603,4,true,4.337,"151 0 66 166"
GRASP_WLS_alpha=0.050000,DBLCB.I,180,5,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,false,-25.930980,5,true,6.943,"151 0 66 166 103"
GRASP_WLS_alpha=0.050000,DBLCB.I,180,6,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,false,-25.525658,6,true,8.659,"151 0 66 169 103 168"
GRASP_WLS_alpha=0.050000,DOWJONES.I,750,3,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-0.632754,3,true,10.025,"90 642 355"
GRASP_WLS_alpha=0.050000,DOWJONES.I,750,4,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-0.467808,4,true,10.006,"284 240 618 268"
GRASP_WLS_alpha=0.050000,DOWJONES.I,750,5,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-0.334288,5,true,10.033,"307 327 705 269 517"
GRASP_WLS_alpha=0.050000,DOWJONES.I,750,6,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-0.276798,6,true,10.036,"128 596 658 528 310 450"
GRASP_WLS_alpha=0.050000,Normal300.i,300,3,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-0.824683,3,true,10.001,"192 55 220"
GRASP_WLS_alpha=0.050000,Normal300.i,300,4,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-0.720329,4,true,10.015,"59 57 212 293"
GRASP_WLS_alpha=0.050000,Normal300.i,300,5,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-0.662636,5,true,10.004,"122 88 119 32 230"
GRASP_WLS_alpha=0.050000,Normal300.i,300,6,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-0.612254,6,true,10.025,"17 178 179 214 127 49"
GRASP_WLS_alpha=0.050000,PARKINSONS.i,195,3,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,false,-3.421897,3,true,5.763,"177 161 148"
GRASP_WLS_alpha=0.050000,PARKINSONS.i,195,4,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,false,-3.156825,4,true,8.948,"161 177 148 62"
GRASP_WLS_alpha=0.050000,PARKINSONS.i,195,5,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,false,-3.017929,5,true,7.973,"177 71 161 62 148"
GRASP_WLS_alpha=0.050000,PARKINSONS.i,195,6,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-2.885211,6,true,10.008,"177 71 161 62 148 175"
GRASP_WLS_alpha=0.050000,Prima_Indians.i,569,3,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-2.219746,3,true,10.020,"389 61 244"
GRASP_WLS_alpha=0.050000,Prima_Indians.i,569,4,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-2.092606,4,true,10.011,"122 337 95 197"
GRASP_WLS_alpha=0.050000,Prima_Indians.i,569,5,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-1.993623,5,true,10.050,"122 337 95 224 493"
GRASP_WLS_alpha=0.050000,Prima_Indians.i,569,6,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-1.924123,6,true,10.057,"79 95 337 122 261 147"
GRASP_WLS_alpha=0.050000,SPRDESP.I,645,3,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-0.693803,3,true,10.033,"409 572 317"
GRASP_WLS_alpha=0.050000,SPRDESP.I,645,4,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-0.633564,4,true,10.042,"220 314 78 203"
GRASP_WLS_alpha=0.050000,SPRDESP.I,645,5,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-0.572722,5,true,10.039,"605 223 567 233 433"
GRASP_WLS_alpha=0.050000,SPRDESP.I,645,6,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-0.520059,6,true,10.026,"20 197 404 493 38 623"
GRASP_WLS_alpha=0.050000,TRIPADVISOR.I,980,3,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-2.623401,3,true,10.015,"590 56 619"
GRASP_WLS_alpha=0.050000,TRIPADVISOR.I,980,4,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-2.504466,4,true,10.029,"967 149 619 56"
GRASP_WLS_alpha=0.050000,TRIPADVISOR.I,980,5,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-2.422233,5,true,10.056,"374 590 56 619 956"
GRASP_WLS_alpha=0.050000,TRIPADVISOR.I,980,6,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-2.361236,6,true,10.274,"125 149 619 56 929 922"
GRASP_WLS_alpha=0.050000,Uniform400.i,400,3,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-0.860586,3,true,10.012,"386 60 184"
GRASP_WLS_alpha=0.050000,Uniform400.i,400,4,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-0.711551,4,true,10.017,"296 259 97 263"
GRASP_WLS_alpha=0.050000,Uniform400.i,400,5,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-0.611198,5,true,10.002,"296 259 165 328 68"
GRASP_WLS_alpha=0.050000,Uniform400.i,400,6,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-0.559338,6,true,10.023,"225 210 182 132 75 318"
GRASP_WLS_alpha=0.050000,Uniform700.i,700,3,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-0.836622,3,true,10.011,"438 403 190"
GRASP_WLS_alpha=0.050000,Uniform700.i,700,4,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-0.701050,4,true,10.028,"270 259 660 54"
GRASP_WLS_alpha=0.050000,Uniform700.i,700,5,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-0.606025,5,true,10.089,"340 470 196 458 135"
GRASP_WLS_alpha=0.050000,Uniform700.i,700,6,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-0.550798,6,true,10.083,"400 630 259 47 414 89"
GRASP_WLS_alpha=0.050000,aggregation.I,788,3,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-0.705029,3,true,10.067,"384 615 126"
GRASP_WLS_alpha=0.050000,aggregation.I,788,4,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-0.567441,4,true,10.051,"382 640 129 542"
GRASP_WLS_alpha=0.050000,aggregation.I,788,5,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-0.497309,5,true,10.061,"441 123 624 243 526"
GRASP_WLS_alpha=0.050000,aggregation.I,788,6,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-0.447529,6,true,10.054,"429 734 123 567 639 274"
GRASP_WLS_alpha=0.050000,banknote_authentication.I,1372,3,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-1.250012,3,true,10.214,"678 169 834"
GRASP_WLS_alpha=0.050000,banknote_authentication.I,1372,4,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-1.138053,4,true,10.262,"1062 296 1185 570"
GRASP_WLS_alpha=0.050000,banknote_authentication.I,1372,5,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-1.044201,5,true,10.095,"1001 969 67 582 1035"
GRASP_WLS_alpha=0.050000,banknote_authentication.I,1372,6,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-0.975189,6,true,10.045,"1258 296 880 347 260 1340"
GRASP_WLS_alpha=0.050000,broken-ring.i,800,3,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-0.840196,3,true,10.025,"641 415 418"
GRASP_WLS_alpha=0.050000,broken-ring.i,800,4,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-0.672912,4,true,10.063,"602 211 102 38"
GRASP_WLS_alpha=0.050000,broken-ring.i,800,5,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-0.523937,5,true,10.107,"683 2 412 371 212"
GRASP_WLS_alpha=0.050000,broken-ring.i,800,6,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-0.482049,6,true,10.172,"606 199 246 518 225 450"
GRASP_WLS_alpha=0.050000,bupa.I,345,3,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-1.761512,3,true,10.005,"278 65 166"
GRASP_WLS_alpha=0.050000,bupa.I,345,4,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-1.660441,4,true,10.009,"74 305 65 174"
GRASP_WLS_alpha=0.050000,bupa.I,345,5,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-1.584418,5,true,10.016,"274 166 257 267 305"
GRASP_WLS_alpha=0.050000,bupa.I,345,6,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-1.521782,6,true,10.027,"65 305 174 74 85 267"
GRASP_WLS_alpha=0.050000,chart.i,600,3,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-7.708550,3,true,10.027,"14 293 361"
GRASP_WLS_alpha=0.050000,chart.i,600,4,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-7.598375,4,true,10.007,"98 293 361 135"
GRASP_WLS_alpha=0.050000,chart.i,600,5,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-7.522370,5,true,10.060,"422 361 293 14 135"
GRASP_WLS_alpha=0.050000,chart.i,600,6,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-7.451490,6,true,10.084,"14 293 361 135 422 114"
GRASP_WLS_alpha=0.050000,ecoli.i,336,3,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-1.570277,3,true,10.001,"116 221 320"
GRASP_WLS_alpha=0.050000,ecoli.i,336,4,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-1.439584,4,true,10.004,"81 221 290 280"
GRASP_WLS_alpha=0.050000,ecoli.i,336,5,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-1.365823,5,true,10.011,"81 221 290 281 278"
GRASP_WLS_alpha=0.050000,ecoli.i,336,6,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-1.295179,6,true,10.024,"116 221 290 280 277 135"
GRASP_WLS_alpha=0.050000,face.i,296,3,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-0.744522,3,true,10.007,"44 38 84"
GRASP_WLS_alpha=0.050000,face.i,296,4,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-0.646859,4,true,10.011,"72 38 9 112"
GRASP_WLS_alpha=0.050000,face.i,296,5,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-0.563881,5,true,10.020,"72 24 13 84 214"
GRASP_WLS_alpha=0.050000,face.i,296,6,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-0.501241,6,true,10.010,"44 41 111 122 215 295"
GRASP_WLS_alpha=0.050000,forestfires.I,517,3,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-1.850980,3,true,10.025,"185 19 66"
GRASP_WLS_alpha=0.050000,forestfires.I,517,4,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-1.737222,4,true,10.029,"232 19 66 101"
GRASP_WLS_alpha=0.050000,forestfires.I,517,5,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-1.678998,5,true,10.014,"158 146 101 187 195"
GRASP_WLS_alpha=0.050000,forestfires.I,517,6,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-1.616181,6,true,10.057,"20 467 66 179 182 86"
