file,stem,k,n,status_text,status,objective_total,objective_avg_per_point,runtime_sec,mip_gap,lower_bound,upper_bound,medoids_1based,fail_reason
2-FACE.i,2-FACE,3,200.0,OK,2.0,135.5569874015231,0.6777849370076154,0.8886499404907227,0.0,135.55698740152306,135.5569874015231,17 50 69,
2-FACE.i,2-FACE,4,200.0,OK,2.0,118.51361713860527,0.5925680856930263,0.8252341747283936,0.0,118.51361713860527,118.51361713860527,17 51 58 155,
2-FACE.i,2-FACE,5,200.0,OK,2.0,102.73373373720395,0.5136686686860198,0.7478330135345459,0.0,102.73373373720395,102.73373373720395,17 47 59 107 155,
2-FACE.i,2-FACE,6,200.0,OK,2.0,91.03751659891444,0.4551875829945722,0.7487630844116211,0.0,91.03751659891435,91.03751659891444,17 86 107 155 187 195,
200DATA.I,200DATA,3,200.0,OK,2.0,74.35098739041584,0.3717549369520792,0.8968160152435303,0.0,74.35098739041584,74.35098739041584,66 130 172,
200DATA.I,200DATA,4,200.0,OK,2.0,53.120501229445466,0.26560250614722736,0.6687910556793213,0.0,53.12050122944546,53.120501229445466,55 58 130 172,
200DATA.I,200DATA,5,200.0,OK,2.0,46.69880920966305,0.23349404604831522,0.6790218353271484,0.0,46.69880920966305,46.69880920966305,54 62 64 130 172,
200DATA.I,200DATA,6,200.0,OK,2.0,42.6180873076163,0.2130904365380815,0.6646909713745117,0.0,42.6180873076163,42.6180873076163,42 55 56 70 130 172,
400p3c.i,400p3c,3,400.0,OK,2.0,112.12287452380788,0.2803071863095197,4.329428195953369,0.0,112.12287452380782,112.12287452380788,103 238 344,
400p3c.i,400p3c,4,400.0,OK,2.0,95.65320476691949,0.23913301191729872,4.396942853927612,0.0,95.65320476691944,95.65320476691949,103 251 283 344,
400p3c.i,400p3c,5,400.0,OK,2.0,85.16767509165274,0.21291918772913185,4.282228946685791,0.0,85.16767509165267,85.16767509165274,152 176 251 283 344,
400p3c.i,400p3c,6,400.0,OK,2.0,77.28525476543851,0.19321313691359626,3.601407051086426,0.0,77.28525476543848,77.28525476543851,75 94 142 251 283 344,
A1.I,A1,3,3000.0,FAILED_PROCESS,,,,,,,,,exitcode=-9
A1.I,A1,4,3000.0,FAILED_PROCESS,,,,,,,,,exitcode=-9
A1.I,A1,5,3000.0,FAILED_PROCESS,,,,,,,,,exitcode=-9
A1.I,A1,6,3000.0,FAILED_PROCESS,,,,,,,,,exitcode=-9
BreastB.I,BreastB,3,49.0,OK,2.0,1877.108986705859,38.30834666746651,0.027512073516845703,0.0,1877.108986705859,1877.108986705859,8 12 14,
BreastB.I,BreastB,4,49.0,OK,2.0,1810.4371770504483,36.947697490825476,0.02085590362548828,0.0,1810.4371770504483,1810.4371770504483,8 12 14 19,
BreastB.I,BreastB,5,49.0,OK,2.0,1750.5118119515428,35.72473085615393,0.04862380027770996,0.0,1750.5118119515428,1750.5118119515428,8 11 12 14 19,
BreastB.I,BreastB,6,49.0,OK,2.0,1692.2110002260215,34.53491837195962,0.041857004165649414,0.0,1692.2110002260215,1692.2110002260215,8 11 12 14 19 35,
Compound.I,Compound,3,399.0,OK,2.0,223.73909206440592,0.5607496041714434,4.249247074127197,0.0,223.7390920644059,223.73909206440592,103 193 394,
Compound.I,Compound,4,399.0,OK,2.0,197.29169481270742,0.4944654005331013,4.178905963897705,0.0,197.29169481270736,197.29169481270742,103 193 248 374,
Compound.I,Compound,5,399.0,OK,2.0,176.32269210500857,0.4419115090351092,3.9501121044158936,0.0,176.32269210500854,176.32269210500857,71 140 193 247 312,
Compound.I,Compound,6,399.0,OK,2.0,159.73539152805685,0.4003393271379871,4.020972967147827,0.0,159.73539152805682,159.73539152805685,71 140 167 210 247 312,
Concrete_Data.i,Concrete_Data,3,1030.0,OK,2.0,2546.503937551288,2.472333919952707,116.3168580532074,9.851905520092884e-05,2546.253058389295,2546.503937551288,292 602 960,
Concrete_Data.i,Concrete_Data,4,1030.0,OK,2.0,2368.4310209582777,2.2994475931633764,65.10128617286682,0.0,2368.4310209582773,2368.4310209582777,292 695 761 998,
Concrete_Data.i,Concrete_Data,5,1030.0,OK,2.0,2240.779374952577,2.175513956264638,75.36051893234253,6.39438148018468e-05,2240.6360909712134,2240.779374952577,117 292 645 695 861,
Concrete_Data.i,Concrete_Data,6,1030.0,OK,2.0,2123.0010872105877,2.0611661040879494,103.86875104904175,7.11827653927864e-05,2122.849966122268,2123.0010872105877,61 117 292 695 729 861,
DBLCA.I,DBLCA,3,141.0,OK,2.0,3841.8710612342343,27.24731249102294,0.18519902229309082,0.0,3841.871061234234,3841.8710612342343,28 79 117,
DBLCA.I,DBLCA,4,141.0,OK,2.0,3774.2259405553505,26.767559862094686,0.30872106552124023,0.0,3774.2259405553496,3774.2259405553505,28 79 101 125,
DBLCA.I,DBLCA,5,141.0,OK,2.0,3709.8343559603936,26.31088195716591,0.30284905433654785,0.0,3709.834355960393,3709.8343559603936,28 51 64 101 125,
DBLCA.I,DBLCA,6,141.0,OK,2.0,3651.2716981386357,25.89554395843004,0.15520811080932617,0.0,3651.271698138634,3651.2716981386357,28 51 64 101 109 125,
