config,file,n,k,alpha,construct_mode,ls_mode,reactive_alphas,reactive_block,sample_size,iterations,time_limit_s,timed_out,max_value,size,feasible,time_s,elements
GRASP_FI_alpha=0.050000,200DATA.I,200,4,0.0500,STANDARD,FIRST_IMPROVING,"",,,1000,900,false,-0.265603,4,true,67.527,"54 57 129 171"
RPG_p=5,200DATA.I,200,4,-1.0000,RPG,BEST_IMPROVING,"",,5,1000,900,false,-0.265603,4,true,42.424,"54 57 171 129"
RPG_p=10,200DATA.I,200,4,-1.0000,RPG,BEST_IMPROVING,"",,10,1000,900,false,-0.265603,4,true,40.651,"129 54 171 57"
RPG_p=20,200DATA.I,200,4,-1.0000,RPG,BEST_IMPROVING,"",,20,1000,900,false,-0.265603,4,true,34.350,"57 129 54 171"
GRASP_POP_alpha=0.050000,200DATA.I,200,4,0.0500,STANDARD+POP,BEST_IMPROVING,"",,,1000,900,false,-0.265603,4,true,53.444,"171 57 54 129"
GRASP_alpha=0.050000,200DATA.I,200,5,0.0500,STANDARD,BEST_IMPROVING,"",,,1000,900,false,-0.233494,5,true,70.211,"171 61 53 63 129"
GRASP_RW_BI_alpha=0.050000,200DATA.I,200,5,0.0500,STANDARD,FAST_INTERCHANGE_BI,"",,,1000,900,false,-0.233494,5,true,11.238,"63 171 129 53 61"
GRASP_FI_alpha=0.050000,200DATA.I,200,5,0.0500,STANDARD,FIRST_IMPROVING,"",,,1000,900,false,-0.233494,5,true,98.040,"61 53 63 129 171"
RPG_p=5,200DATA.I,200,5,-1.0000,RPG,BEST_IMPROVING,"",,5,1000,900,false,-0.233494,5,true,73.758,"171 61 129 63 53"
RPG_p=10,200DATA.I,200,5,-1.0000,RPG,BEST_IMPROVING,"",,10,1000,900,false,-0.233494,5,true,72.828,"129 171 61 63 53"
RPG_p=20,200DATA.I,200,5,-1.0000,RPG,BEST_IMPROVING,"",,20,1000,900,false,-0.233494,5,true,66.508,"61 129 53 63 171"
GRASP_POP_alpha=0.050000,200DATA.I,200,5,0.0500,STANDARD+POP,BEST_IMPROVING,"",,,1000,900,false,-0.237692,5,true,76.305,"171 129 57 59 41"
GRASP_alpha=0.050000,200DATA.I,200,6,0.0500,STANDARD,BEST_IMPROVING,"",,,1000,900,false,-0.213090,6,true,99.837,"69 54 171 129 41 55"
GRASP_RW_BI_alpha=0.050000,200DATA.I,200,6,0.0500,STANDARD,FAST_INTERCHANGE_BI,"",,,1000,900,false,-0.213090,6,true,13.931,"69 171 129 54 55 41"
GRASP_FI_alpha=0.050000,200DATA.I,200,6,0.0500,STANDARD,FIRST_IMPROVING,"",,,1000,900,false,-0.213090,6,true,127.779,"171 41 54 55 69 129"
RPG_p=5,200DATA.I,200,6,-1.0000,RPG,BEST_IMPROVING,"",,5,1000,900,false,-0.213090,6,true,99.363,"54 69 41 55 171 129"
RPG_p=10,200DATA.I,200,6,-1.0000,RPG,BEST_IMPROVING,"",,10,1000,900,false,-0.213090,6,true,103.785,"55 41 129 69 171 54"
RPG_p=20,200DATA.I,200,6,-1.0000,RPG,BEST_IMPROVING,"",,20,1000,900,false,-0.213090,6,true,102.606,"41 171 54 55 129 69"
GRASP_POP_alpha=0.050000,200DATA.I,200,6,0.0500,STANDARD+POP,BEST_IMPROVING,"",,,1000,900,false,-0.214054,6,true,111.573,"129 61 53 63 172 149"
GRASP_alpha=0.050000,400p3c.i,400,3,0.0500,STANDARD,BEST_IMPROVING,"",,,1000,900,false,-0.280307,3,true,70.556,"102 343 237"
GRASP_RW_BI_alpha=0.050000,400p3c.i,400,3,0.0500,STANDARD,FAST_INTERCHANGE_BI,"",,,1000,900,false,-0.280307,3,true,20.188,"102 343 237"
GRASP_FI_alpha=0.050000,400p3c.i,400,3,0.0500,STANDARD,FIRST_IMPROVING,"",,,1000,900,false,-0.280307,3,true,117.224,"102 237 343"
RPG_p=5,400p3c.i,400,3,-1.0000,RPG,BEST_IMPROVING,"",,5,1000,900,false,-0.280307,3,true,61.758,"237 102 343"
RPG_p=10,400p3c.i,400,3,-1.0000,RPG,BEST_IMPROVING,"",,10,1000,900,false,-0.280307,3,true,62.081,"237 102 343"
RPG_p=20,400p3c.i,400,3,-1.0000,RPG,BEST_IMPROVING,"",,20,1000,900,false,-0.280307,3,true,60.326,"237 102 343"
GRASP_POP_alpha=0.050000,400p3c.i,400,3,0.0500,STANDARD+POP,BEST_IMPROVING,"",,,1000,900,false,-0.280307,3,true,100.236,"102 237 343"
GRASP_alpha=0.050000,400p3c.i,400,4,0.0500,STANDARD,BEST_IMPROVING,"",,,1000,900,false,-0.239133,4,true,179.246,"102 343 250 282"
